time,Fuel type,CF_Hydro
1/1/2024 5:00,Hydro,0.244
1/1/2024 6:00,Hydro,0.288
1/1/2024 7:00,Hydro,0.336
1/1/2024 8:00,Hydro,0.338
1/1/2024 9:00,Hydro,0.34
1/1/2024 10:00,Hydro,0.263
1/1/2024 11:00,Hydro,0.294
1/1/2024 12:00,Hydro,0.307
1/1/2024 13:00,Hydro,0.302
1/1/2024 14:00,Hydro,0.308
1/1/2024 15:00,Hydro,0.403
1/1/2024 16:00,Hydro,0.523
1/1/2024 17:00,Hydro,0.736
1/1/2024 18:00,Hydro,0.816
1/1/2024 19:00,Hydro,0.665
1/1/2024 20:00,Hydro,0.501
1/1/2024 21:00,Hydro,0.384
1/1/2024 22:00,Hydro,0.185
1/1/2024 23:00,Hydro,0.176
1/2/2024 0:00,Hydro,0.169
1/2/2024 1:00,Hydro,0.165
1/2/2024 2:00,Hydro,0.164
1/2/2024 3:00,Hydro,0.163
1/2/2024 4:00,Hydro,0.17
1/2/2024 5:00,Hydro,0.329
1/2/2024 6:00,Hydro,0.631
1/2/2024 7:00,Hydro,0.793
1/2/2024 8:00,Hydro,0.737
1/2/2024 9:00,Hydro,0.562
1/2/2024 10:00,Hydro,0.284
1/2/2024 11:00,Hydro,0.236
1/2/2024 12:00,Hydro,0.193
1/2/2024 13:00,Hydro,0.184
1/2/2024 14:00,Hydro,0.179
1/2/2024 15:00,Hydro,0.236
1/2/2024 16:00,Hydro,0.398
1/2/2024 17:00,Hydro,0.729
1/2/2024 18:00,Hydro,0.917
1/2/2024 19:00,Hydro,0.871
1/2/2024 20:00,Hydro,0.679
1/2/2024 21:00,Hydro,0.389
1/2/2024 22:00,Hydro,0.24
1/2/2024 23:00,Hydro,0.208
1/3/2024 0:00,Hydro,0.195
1/3/2024 1:00,Hydro,0.177
1/3/2024 2:00,Hydro,0.177
1/3/2024 3:00,Hydro,0.212
1/3/2024 4:00,Hydro,0.215
1/3/2024 5:00,Hydro,0.258
1/3/2024 6:00,Hydro,0.684
1/3/2024 7:00,Hydro,0.902
1/3/2024 8:00,Hydro,0.785
1/3/2024 9:00,Hydro,0.476
1/3/2024 10:00,Hydro,0.22
1/3/2024 11:00,Hydro,0.21
1/3/2024 12:00,Hydro,0.204
1/3/2024 13:00,Hydro,0.195
1/3/2024 14:00,Hydro,0.192
1/3/2024 15:00,Hydro,0.314
1/3/2024 16:00,Hydro,0.46
1/3/2024 17:00,Hydro,0.643
1/3/2024 18:00,Hydro,0.767
1/3/2024 19:00,Hydro,0.671
1/3/2024 20:00,Hydro,0.51
1/3/2024 21:00,Hydro,0.332
