time,Fuel type,CF_Solar
1/1/2024 5:00,Solar,0.002
1/1/2024 6:00,Solar,0.002
1/1/2024 7:00,Solar,0.003
1/1/2024 8:00,Solar,0.037
1/1/2024 9:00,Solar,0.12
1/1/2024 10:00,Solar,0.192
1/1/2024 11:00,Solar,0.23
1/1/2024 12:00,Solar,0.205
1/1/2024 13:00,Solar,0.167
1/1/2024 14:00,Solar,0.129
1/1/2024 15:00,Solar,0.083
1/1/2024 16:00,Solar,0.022
1/1/2024 17:00,Solar,0.002
1/1/2024 18:00,Solar,0.002
1/1/2024 19:00,Solar,0.002
1/1/2024 20:00,Solar,0.002
1/1/2024 21:00,Solar,0.002
1/1/2024 22:00,Solar,0.002
1/1/2024 23:00,Solar,0.002
1/2/2024 0:00,Solar,0.002
1/2/2024 1:00,Solar,0.002
1/2/2024 2:00,Solar,0.002
1/2/2024 3:00,Solar,0.002
1/2/2024 4:00,Solar,0.002
1/2/2024 5:00,Solar,0.002
1/2/2024 6:00,Solar,0.002
1/2/2024 7:00,Solar,0.004
1/2/2024 8:00,Solar,0.105
1/2/2024 9:00,Solar,0.292
1/2/2024 10:00,Solar,0.358
1/2/2024 11:00,Solar,0.371
1/2/2024 12:00,Solar,0.39
1/2/2024 13:00,Solar,0.405
1/2/2024 14:00,Solar,0.402
1/2/2024 15:00,Solar,0.296
1/2/2024 16:00,Solar,0.08
1/2/2024 17:00,Solar,0.003
1/2/2024 18:00,Solar,0.002
1/2/2024 19:00,Solar,0.002
1/2/2024 20:00,Solar,0.002
1/2/2024 21:00,Solar,0.002
1/2/2024 22:00,Solar,0.002
1/2/2024 23:00,Solar,0.002
1/3/2024 0:00,Solar,0.002
1/3/2024 1:00,Solar,0.002
1/3/2024 2:00,Solar,0.002
1/3/2024 3:00,Solar,0.002
1/3/2024 4:00,Solar,0.002
1/3/2024 5:00,Solar,0.002
1/3/2024 6:00,Solar,0.002
1/3/2024 7:00,Solar,0.006
1/3/2024 8:00,Solar,0.132
1/3/2024 9:00,Solar,0.373
1/3/2024 10:00,Solar,0.45
1/3/2024 11:00,Solar,0.452
1/3/2024 12:00,Solar,0.427
1/3/2024 13:00,Solar,0.414
1/3/2024 14:00,Solar,0.342
1/3/2024 15:00,Solar,0.176
1/3/2024 16:00,Solar,0.03
1/3/2024 17:00,Solar,0.002
1/3/2024 18:00,Solar,0.002
1/3/2024 19:00,Solar,0.002
1/3/2024 20:00,Solar,0.002
1/3/2024 21:00,Solar,0.002
1/3/2024 22:00,Solar,0.002
1/3/2024 23:00,Solar,0.002
1/4/2024 0:00,Solar,0.002
1/4/2024 1:00,Solar,0.002
1/4/2024 2:00,Solar,0.002
1/4/2024 3:00,Solar,0.002
1/4/2024 4:00,Solar,0.002
1/4/2024 5:00,Solar,0.002
1/4/2024 6:00,Solar,0.002
1/4/2024 7:00,Solar,0.003
1/4/2024 8:00,Solar,0.06
1/4/2024 9:00,Solar,0.162
1/4/2024 10:00,Solar,0.219
1/4/2024 11:00,Solar,0.233
1/4/2024 12:00,Solar,0.25
1/4/2024 13:00,Solar,0.244
1/4/2024 14:00,Solar,0.248
1/4/2024 15:00,Solar,0.223
1/4/2024 16:00,Solar,0.087
1/4/2024 17:00,Solar,0.005
1/4/2024 18:00,Solar,0.002
1/4/2024 19:00,Solar,0.002
1/4/2024 20:00,Solar,0.002
1/4/2024 21:00,Solar,0.002
1/4/2024 22:00,Solar,0.002
1/4/2024 23:00,Solar,0.002
1/5/2024 0:00,Solar,0.002
1/5/2024 1:00,Solar,0.002
1/5/2024 2:00,Solar,0.002
1/5/2024 3:00,Solar,0.002
1/5/2024 4:00,Solar,0.002
1/5/2024 5:00,Solar,0.002
1/5/2024 6:00,Solar,0.002
1/5/2024 7:00,Solar,0.006
1/5/2024 8:00,Solar,0.141
1/5/2024 9:00,Solar,0.405
1/5/2024 10:00,Solar,0.493
1/5/2024 11:00,Solar,0.501
1/5/2024 12:00,Solar,0.486
1/5/2024 13:00,Solar,0.485
1/5/2024 14:00,Solar,0.484
1/5/2024 15:00,Solar,0.335
1/5/2024 16:00,Solar,0.095
1/5/2024 17:00,Solar,0.003
1/5/2024 18:00,Solar,0.002
1/5/2024 19:00,Solar,0.002
1/5/2024 20:00,Solar,0.002
1/5/2024 21:00,Solar,0.002
1/5/2024 22:00,Solar,0.002
1/5/2024 23:00,Solar,0.002
1/6/2024 0:00,Solar,0.002
1/6/2024 1:00,Solar,0.002
1/6/2024 2:00,Solar,0.002
1/6/2024 3:00,Solar,0.002
1/6/2024 4:00,Solar,0.002
1/6/2024 5:00,Solar,0.002
1/6/2024 6:00,Solar,0.003
1/6/2024 7:00,Solar,0.003
1/6/2024 8:00,Solar,0.006
1/6/2024 9:00,Solar,0.02
1/6/2024 10:00,Solar,0.04
1/6/2024 11:00,Solar,0.065
1/6/2024 12:00,Solar,0.066
1/6/2024 13:00,Solar,0.058
1/6/2024 14:00,Solar,0.043
1/6/2024 15:00,Solar,0.034
1/6/2024 16:00,Solar,0.017
1/6/2024 17:00,Solar,0.002
1/6/2024 18:00,Solar,0.002
1/6/2024 19:00,Solar,0.002
1/6/2024 20:00,Solar,0.002
1/6/2024 21:00,Solar,0.002
1/6/2024 22:00,Solar,0.002
1/6/2024 23:00,Solar,0.002
1/7/2024 0:00,Solar,0.002
1/7/2024 1:00,Solar,0.002
1/7/2024 2:00,Solar,0.002
1/7/2024 3:00,Solar,0.002
1/7/2024 4:00,Solar,0.002
1/7/2024 5:00,Solar,0.002
1/7/2024 6:00,Solar,0.002
1/7/2024 7:00,Solar,0.003
1/7/2024 8:00,Solar,0.033
1/7/2024 9:00,Solar,0.16
1/7/2024 10:00,Solar,0.327
1/7/2024 11:00,Solar,0.366
1/7/2024 12:00,Solar,0.358
1/7/2024 13:00,Solar,0.321
1/7/2024 14:00,Solar,0.224
1/7/2024 15:00,Solar,0.128
1/7/2024 16:00,Solar,0.041
1/7/2024 17:00,Solar,0.002
1/7/2024 18:00,Solar,0.002
1/7/2024 19:00,Solar,0.002
1/7/2024 20:00,Solar,0.002
1/7/2024 21:00,Solar,0.002
1/7/2024 22:00,Solar,0.002
1/7/2024 23:00,Solar,0.002
1/8/2024 0:00,Solar,0.002
1/8/2024 1:00,Solar,0.002
1/8/2024 2:00,Solar,0.002
1/8/2024 3:00,Solar,0.002
1/8/2024 4:00,Solar,0.002
1/8/2024 5:00,Solar,0.002
1/8/2024 6:00,Solar,0.002
1/8/2024 7:00,Solar,0.006
1/8/2024 8:00,Solar,0.105
1/8/2024 9:00,Solar,0.319
1/8/2024 10:00,Solar,0.411
1/8/2024 11:00,Solar,0.422
1/8/2024 12:00,Solar,0.423
1/8/2024 13:00,Solar,0.443
1/8/2024 14:00,Solar,0.436
1/8/2024 15:00,Solar,0.299
1/8/2024 16:00,Solar,0.092
1/8/2024 17:00,Solar,0.004
1/8/2024 18:00,Solar,0.002
1/8/2024 19:00,Solar,0.002
1/8/2024 20:00,Solar,0.002
1/8/2024 21:00,Solar,0.002
1/8/2024 22:00,Solar,0.002
1/8/2024 23:00,Solar,0.002
1/9/2024 0:00,Solar,0.002
1/9/2024 1:00,Solar,0.002
1/9/2024 2:00,Solar,0.002
1/9/2024 3:00,Solar,0.002
1/9/2024 4:00,Solar,0.002
1/9/2024 5:00,Solar,0.002
1/9/2024 6:00,Solar,0.002
1/9/2024 7:00,Solar,0.002
1/9/2024 8:00,Solar,0.004
1/9/2024 9:00,Solar,0.011
1/9/2024 10:00,Solar,0.019
1/9/2024 11:00,Solar,0.03
1/9/2024 12:00,Solar,0.044
1/9/2024 13:00,Solar,0.041
1/9/2024 14:00,Solar,0.027
1/9/2024 15:00,Solar,0.017
1/9/2024 16:00,Solar,0.007
1/9/2024 17:00,Solar,0.003
1/9/2024 18:00,Solar,0.002
1/9/2024 19:00,Solar,0.002
1/9/2024 20:00,Solar,0.002
1/9/2024 21:00,Solar,0.002
1/9/2024 22:00,Solar,0.002
1/9/2024 23:00,Solar,0.002
1/10/2024 0:00,Solar,0.002
1/10/2024 1:00,Solar,0.002
1/10/2024 2:00,Solar,0.002
1/10/2024 3:00,Solar,0.002
1/10/2024 4:00,Solar,0.002
1/10/2024 5:00,Solar,0.002
1/10/2024 6:00,Solar,0.002
1/10/2024 7:00,Solar,0.005
1/10/2024 8:00,Solar,0.112
1/10/2024 9:00,Solar,0.301
1/10/2024 10:00,Solar,0.336
1/10/2024 11:00,Solar,0.322
1/10/2024 12:00,Solar,0.281
1/10/2024 13:00,Solar,0.285
1/10/2024 14:00,Solar,0.287
1/10/2024 15:00,Solar,0.239
1/10/2024 16:00,Solar,0.061
1/10/2024 17:00,Solar,0.003
1/10/2024 18:00,Solar,0.002
1/10/2024 19:00,Solar,0.002
1/10/2024 20:00,Solar,0.002
1/10/2024 21:00,Solar,0.002
1/10/2024 22:00,Solar,0.002
1/10/2024 23:00,Solar,0.002
1/11/2024 0:00,Solar,0.002
1/11/2024 1:00,Solar,0.002
