time,Fuel type,CF_Wind
1/1/2024 5:00,Wind,0.337
1/1/2024 6:00,Wind,0.32
1/1/2024 7:00,Wind,0.304
1/1/2024 8:00,Wind,0.255
1/1/2024 9:00,Wind,0.221
1/1/2024 10:00,Wind,0.208
1/1/2024 11:00,Wind,0.179
1/1/2024 12:00,Wind,0.159
1/1/2024 13:00,Wind,0.164
1/1/2024 14:00,Wind,0.183
1/1/2024 15:00,Wind,0.194
1/1/2024 16:00,Wind,0.206
1/1/2024 17:00,Wind,0.193
1/1/2024 18:00,Wind,0.191
1/1/2024 19:00,Wind,0.213
1/1/2024 20:00,Wind,0.229
1/1/2024 21:00,Wind,0.237
1/1/2024 22:00,Wind,0.249
1/1/2024 23:00,Wind,0.298
1/2/2024 0:00,Wind,0.342
1/2/2024 1:00,Wind,0.398
1/2/2024 2:00,Wind,0.432
1/2/2024 3:00,Wind,0.428
1/2/2024 4:00,Wind,0.454
1/2/2024 5:00,Wind,0.493
1/2/2024 6:00,Wind,0.507
1/2/2024 7:00,Wind,0.556
1/2/2024 8:00,Wind,0.578
1/2/2024 9:00,Wind,0.584
1/2/2024 10:00,Wind,0.619
1/2/2024 11:00,Wind,0.69
1/2/2024 12:00,Wind,0.742
1/2/2024 13:00,Wind,0.741
1/2/2024 14:00,Wind,0.708
1/2/2024 15:00,Wind,0.689
1/2/2024 16:00,Wind,0.612
1/2/2024 17:00,Wind,0.559
1/2/2024 18:00,Wind,0.545
1/2/2024 19:00,Wind,0.54
1/2/2024 20:00,Wind,0.565
1/2/2024 21:00,Wind,0.528
1/2/2024 22:00,Wind,0.479
1/2/2024 23:00,Wind,0.424
1/3/2024 0:00,Wind,0.372
1/3/2024 1:00,Wind,0.334
1/3/2024 2:00,Wind,0.279
1/3/2024 3:00,Wind,0.255
1/3/2024 4:00,Wind,0.244
1/3/2024 5:00,Wind,0.216
1/3/2024 6:00,Wind,0.192
1/3/2024 7:00,Wind,0.165
1/3/2024 8:00,Wind,0.158
1/3/2024 9:00,Wind,0.145
1/3/2024 10:00,Wind,0.114
1/3/2024 11:00,Wind,0.097
1/3/2024 12:00,Wind,0.097
1/3/2024 13:00,Wind,0.129
1/3/2024 14:00,Wind,0.153
1/3/2024 15:00,Wind,0.143
1/3/2024 16:00,Wind,0.136
1/3/2024 17:00,Wind,0.139
1/3/2024 18:00,Wind,0.148
1/3/2024 19:00,Wind,0.169
1/3/2024 20:00,Wind,0.186
1/3/2024 21:00,Wind,0.207
1/3/2024 22:00,Wind,0.219
1/3/2024 23:00,Wind,0.222
1/4/2024 0:00,Wind,0.226
1/4/2024 1:00,Wind,0.204
1/4/2024 2:00,Wind,0.164
1/4/2024 3:00,Wind,0.192
1/4/2024 4:00,Wind,0.216
1/4/2024 5:00,Wind,0.182
1/4/2024 6:00,Wind,0.156
1/4/2024 7:00,Wind,0.157
1/4/2024 8:00,Wind,0.179
1/4/2024 9:00,Wind,0.183
1/4/2024 10:00,Wind,0.179
1/4/2024 11:00,Wind,0.175
1/4/2024 12:00,Wind,0.169
1/4/2024 13:00,Wind,0.168
1/4/2024 14:00,Wind,0.157
1/4/2024 15:00,Wind,0.147
1/4/2024 16:00,Wind,0.139
1/4/2024 17:00,Wind,0.141
1/4/2024 18:00,Wind,0.14
1/4/2024 19:00,Wind,0.139
1/4/2024 20:00,Wind,0.147
1/4/2024 21:00,Wind,0.147
1/4/2024 22:00,Wind,0.144
1/4/2024 23:00,Wind,0.145
1/5/2024 0:00,Wind,0.156
1/5/2024 1:00,Wind,0.169
1/5/2024 2:00,Wind,0.179
1/5/2024 3:00,Wind,0.198
1/5/2024 4:00,Wind,0.248
1/5/2024 5:00,Wind,0.283
1/5/2024 6:00,Wind,0.271
1/5/2024 7:00,Wind,0.233
1/5/2024 8:00,Wind,0.212
1/5/2024 9:00,Wind,0.169
1/5/2024 10:00,Wind,0.102
1/5/2024 11:00,Wind,0.07
1/5/2024 12:00,Wind,0.055
1/5/2024 13:00,Wind,0.07
1/5/2024 14:00,Wind,0.103
1/5/2024 15:00,Wind,0.052
1/5/2024 16:00,Wind,0.064
1/5/2024 17:00,Wind,0.161
1/5/2024 18:00,Wind,0.24
1/5/2024 19:00,Wind,0.287
1/5/2024 20:00,Wind,0.266
1/5/2024 21:00,Wind,0.216
1/5/2024 22:00,Wind,0.203
1/5/2024 23:00,Wind,0.211
1/6/2024 0:00,Wind,0.219
1/6/2024 1:00,Wind,0.214
1/6/2024 2:00,Wind,0.198
1/6/2024 3:00,Wind,0.2
1/6/2024 4:00,Wind,0.176
1/6/2024 5:00,Wind,0.155
1/6/2024 6:00,Wind,0.167
1/6/2024 7:00,Wind,0.183
1/6/2024 8:00,Wind,0.158
1/6/2024 9:00,Wind,0.155
1/6/2024 10:00,Wind,0.168
1/6/2024 11:00,Wind,0.16
1/6/2024 12:00,Wind,0.156
1/6/2024 13:00,Wind,0.159
1/6/2024 14:00,Wind,0.142
1/6/2024 15:00,Wind,0.144
1/6/2024 16:00,Wind,0.121
1/6/2024 17:00,Wind,0.092
