t,SUM_LOAD
1/1/2024 5:00,91657.48656
1/1/2024 6:00,90127.60898
1/1/2024 7:00,88757.18374
1/1/2024 8:00,87921.55588
1/1/2024 9:00,88553.48836
1/1/2024 10:00,90258.89658
1/1/2024 11:00,92269.68155
1/1/2024 12:00,93899.79899
1/1/2024 13:00,95188.50214
1/1/2024 14:00,96465.00795
1/1/2024 15:00,97730.20352
1/1/2024 16:00,98631.91872
1/1/2024 17:00,99590.85047
1/1/2024 18:00,100454.8648
1/1/2024 19:00,100810.2506
1/1/2024 20:00,101917.8789
1/1/2024 21:00,104791.3476
1/1/2024 22:00,109070.2811
1/1/2024 23:00,109479.2243
1/2/2024 0:00,108397.5431
1/2/2024 1:00,106416.2534
1/2/2024 2:00,104197.1159
1/2/2024 3:00,100226.7748
1/2/2024 4:00,96354.34492
1/2/2024 5:00,93692.5553
1/2/2024 6:00,92271.34482
1/2/2024 7:00,91544.49495
1/2/2024 8:00,92049.57522
1/2/2024 9:00,94397.56086
1/2/2024 10:00,99542.50469
1/2/2024 11:00,107300.2271
1/2/2024 12:00,113226.2434
1/2/2024 13:00,114370.6855
1/2/2024 14:00,113323.1568
1/2/2024 15:00,111867.1284
1/2/2024 16:00,109510.8264
1/2/2024 17:00,107942.9154
1/2/2024 18:00,107062.7118
1/2/2024 19:00,106598.7698
1/2/2024 20:00,107314.6421
1/2/2024 21:00,110991.6929
1/2/2024 22:00,117355.926
1/2/2024 23:00,119355.6225
1/3/2024 0:00,118744.4255
1/3/2024 1:00,117301.2598
1/3/2024 2:00,114465.7137
1/3/2024 3:00,110155.3998
1/3/2024 4:00,105969.1659
1/3/2024 5:00,102970.9518
1/3/2024 6:00,101491.5268
1/3/2024 7:00,100907.053
1/3/2024 8:00,101408.8068
1/3/2024 9:00,103450.5286
1/3/2024 10:00,108546.2396
1/3/2024 11:00,116426.9332
1/3/2024 12:00,121477.6249
1/3/2024 13:00,120878.2926
1/3/2024 14:00,116391.6718
1/3/2024 15:00,112062.7292
1/3/2024 16:00,109215.762
1/3/2024 17:00,107396.9186
1/3/2024 18:00,106515.828
1/3/2024 19:00,106155.3415
1/3/2024 20:00,107702.5171
1/3/2024 21:00,111355.7277
1/3/2024 22:00,116715.899
1/3/2024 23:00,117588.3406
1/4/2024 0:00,116470.0674
1/4/2024 1:00,114878.427
1/4/2024 2:00,111532.8108
1/4/2024 3:00,106434.5494
1/4/2024 4:00,101377.3155
1/4/2024 5:00,97743.95324
1/4/2024 6:00,95975.00802
1/4/2024 7:00,94989.35304
1/4/2024 8:00,95091.0344
1/4/2024 9:00,96886.03754
1/4/2024 10:00,101883.2828
1/4/2024 11:00,109556.9545
1/4/2024 12:00,114842.0567
1/4/2024 13:00,115896.4603
1/4/2024 14:00,115608.0489
1/4/2024 15:00,114870.4433
1/4/2024 16:00,113281.2423
1/4/2024 17:00,112295.4764
1/4/2024 18:00,112059.1809
1/4/2024 19:00,111167.6671
1/4/2024 20:00,111052.1252
1/4/2024 21:00,113982.1451
1/4/2024 22:00,120181.3816
1/4/2024 23:00,122490.3358
1/5/2024 0:00,122215.6742
