T,Zone,Dem
t1,z1,450
t2,z1,375
t3,z1,300
t4,z1,375
t5,z1,450
t6,z1,525
t7,z1,600
t8,z1,675
t9,z1,750
t10,z1,825
t11,z1,900
t12,z1,975
t13,z1,1050
t14,z1,1125
t15,z1,1050
t16,z1,975
t17,z1,900
t18,z1,825
t19,z1,750
t20,z1,675
t21,z1,600
t22,z1,525
t23,z1,450
t24,z1,375
t1,z2,150
t2,z2,125
t3,z2,100
t4,z2,125
t5,z2,150
t6,z2,175
t7,z2,200
t8,z2,225
t9,z2,250
t10,z2,275
t11,z2,300
t12,z2,325
t13,z2,350
t14,z2,375
t15,z2,350
t16,z2,325
t17,z2,300
t18,z2,275
t19,z2,250
t20,z2,225
t21,z2,200
t22,z2,175
t23,z2,150
t24,z2,125
