Generator,Time,CF
Win1,t1,0.4
Win1,t2,0.5
Win1,t3,0.6
Win1,t4,0.7
Win1,t5,0.8
Win1,t6,1
Win1,t7,1
Win1,t8,1
Win1,t9,1
Win1,t10,0.8
Win1,t11,0.6
Win1,t12,0.5
Win1,t13,0.4
Win1,t14,0.3
Win1,t15,0.1
Win1,t16,0.2
Win1,t17,0.3
Win1,t18,0.6
Win1,t19,0.8
Win1,t20,0.8
Win1,t21,0.8
Win1,t22,0.8
Win1,t23,0.8
Win1,t24,0.8
Win2,t1,0.4
Win2,t2,0.5
Win2,t3,0.6
Win2,t4,0.7
Win2,t5,0.8
Win2,t6,1
Win2,t7,1
Win2,t8,1
Win2,t9,1
Win2,t10,0.8
Win2,t11,0.6
Win2,t12,0.5
Win2,t13,0.4
Win2,t14,0.3
Win2,t15,0.1
Win2,t16,0.2
Win2,t17,0.3
Win2,t18,0.6
Win2,t19,0.8
Win2,t20,0.8
Win2,t21,0.8
Win2,t22,0.8
Win2,t23,0.8
Win2,t24,0.8
Win3,t1,0.4
Win3,t2,0.5
Win3,t3,0.6
Win3,t4,0.7
Win3,t5,0.8
Win3,t6,1
Win3,t7,1
Win3,t8,1
Win3,t9,1
Win3,t10,0.8
Win3,t11,0.6
Win3,t12,0.5
Win3,t13,0.4
Win3,t14,0.3
Win3,t15,0.1
Win3,t16,0.2
Win3,t17,0.3
Win3,t18,0.6
Win3,t19,0.8
Win3,t20,0.8
Win3,t21,0.8
Win3,t22,0.8
Win3,t23,0.8
Win3,t24,0.8
Win4,t1,0.4
Win4,t2,0.5
Win4,t3,0.6
Win4,t4,0.7
Win4,t5,0.8
Win4,t6,1
Win4,t7,1
Win4,t8,1
Win4,t9,1
Win4,t10,0.8
Win4,t11,0.6
Win4,t12,0.5
Win4,t13,0.4
Win4,t14,0.3
Win4,t15,0.1
Win4,t16,0.2
Win4,t17,0.3
Win4,t18,0.6
Win4,t19,0.8
Win4,t20,0.8
Win4,t21,0.8
Win4,t22,0.8
Win4,t23,0.8
Win4,t24,0.8
